Team Name,kaggle id,Tournament Wins,seed,points,# of wins in last 10 games,coach tourney appearances,SOS,Offensive Efficiency,Defensive Efficiency,Offensive-Defensive Effiency subtract offensive - defensive efficiency to get this column,Coach Record (overall),SRS (sports ref),FT,turnovers per game,winning %,TRB,AST,points pg,Points Allowed PG,PF,3PA (sports reference),Coaching Final Four Appearances (square root),FGA,Wins Against Tournament Teams (square root),FG%,Average Scoring Margin,Major Conference,Steals,Steals pg,KenPom Sos,True Shoot %,Terry Rank,Defensive Rebounds Per Game,Offensive Rating,Defensive Rating,TSP,Free Throw %,AP Poll,Adj. Off-Def,Strength of Schedule,Turnovers per Game,KenPom AdjEM,3PA/Min,3P%,Sagarin Predictor
Gonzaga,1211,2,4,2873,10,18,2.06,119.8,95.1,24.7,0.82,2.62,466,11.3,0.882,1357,535,84.5,67.1,579,826,1.00,2085,2.236,0.503,17.4,0,219,,0.95,0.601,11.889,29.08571429,126.3358326,99.8097622,60.72537762,0.722,8,24.7,0.5147,11.3,24.73,0.60,0.37,89.36
Houston,1222,1,5,2555,8,14,3.35,115.8,95.2,20.6,0.649,16.38,450,12.2,0.788,1271,492,77.4,64.9,693,714,1.00,1898,2.000,0.469,12.5,0,204,,3.39,0.571,24.000,26.94117647,119.0813342,99.415845,57.64621582,0.717,21,20.6,0.539,12.2,20.55,0.56,0.39,86.09
Iona,1233,0,15,2635,6,4,-2.72,110.3,107.4,2.9,0.667,0.96,452,11.7,0.606,1117,526,79.8,76.2,571,822,0.00,2016,0.000,0.462,3.7,0,224,,-2.39,0.571,142.111,25.14705882,114.8218958,109.5416884,57.73267232,0.739,47,2.9,0.4968,11.7,2.88,0.61,0.39,74.51
Kansas,1242,4,1,2771,8,19,11.45,120.9,97.7,23.2,0.765,22.01,378,11.7,0.794,1197,578,81.5,70.9,519,857,1.41,2058,4.123,0.472,10.6,1,225,,11.49,0.599,9.000,25.91428571,122.0068523,105.7056589,60.7022331,0.701,4,23.2,0.6041,11.7,23.23,0.63,0.40,91.54
Kansas St,1243,3,9,2388,6,11,8.96,112.2,97.4,14.8,0.65,13.45,451,11.5,0.667,1010,473,72.4,67.9,607,665,1.00,1809,2.236,0.472,4.5,1,256,,9.2,0.569,35.333,22.55882353,114.3523419,105.8587452,57.76249326,0.742,35,14.8,0.5487,11.5,14.75,0.50,0.34,83.59
Kentucky,1246,2,5,2609,7,18,10.95,116.4,96,20.4,0.78,17.58,584,13,0.706,1315,455,76.7,70.2,642,497,2.00,1908,2.828,0.469,6.4,1,185,,11.17,0.552,20.667,26.31428571,109.7368791,102.9874403,53.35881122,0.697,18,20.4,0.5945,13,20.39,0.38,0.36,87.65
Lipscomb,1252,0,15,2642,9,0,-4.39,103.8,103.4,0.4,0.493,-2.03,580,15,0.719,1247,503,82.6,78.5,638,785,0.00,1976,0.000,0.456,2.4,0,207,,-4.94,0.559,143.000,27.33333333,109.6678912,105.9404513,56.81636524,0.715,47,0.4,0.472,15,0.38,0.60,0.33,70.98
Loyola Chicago,1260,4,11,2390,10,0,-0.27,111.3,96.2,15.1,0.513,-0.25,406,12.2,0.848,1067,519,72.4,62,456,618,0.00,1714,1.732,0.507,9.7,0,219,,0.07,0.603,43.667,25.60606061,114.2474679,99.01249665,61.12332911,0.724,27,15.1,0.5122,12.2,15.09,0.47,0.40,80.3
Marshall,1267,1,13,2865,8,0,-0.9,109.3,103.9,5.4,0.537,3.61,540,13.2,0.706,1232,585,84.3,79.1,562,964,0.00,2115,0.000,0.469,4.5,0,233,,-1.67,0.585,112.000,27.47058824,115.1991076,108.5636968,59.09642314,0.767,47,5.4,0.4954,13.2,5.39,0.70,0.35,74.3
Miami (Fla),1274,0,6,2299,6,8,7.15,113.3,97.6,15.7,0.609,13.27,354,11.3,0.71,1080,413,74.2,68,505,669,1.00,1832,2.236,0.464,6.1,1,203,,8.17,0.551,26.667,25.21875,113.3597272,102.9683848,55.70564303,0.663,22,15.7,0.5605,11.3,15.71,0.54,0.36,84.84
Michigan,1276,5,3,2606,9,11,8.79,115.9,92.7,23.2,0.628,18.9,400,9.1,0.8,1167,518,74.5,63.5,545,868,1.00,2003,2.646,0.471,10.1,1,219,,8.78,0.569,9.111,24.65714286,116.9210039,101.1170348,56.83820683,0.659,7,23.2,0.5572,9.1,23.2,0.61,0.37,88.39
Michigan State,1277,1,3,2672,9,20,7.29,120,93.6,26.4,0.719,23.46,509,13.2,0.879,1348,638,81,64.8,596,671,2.65,1872,1.414,0.504,16.2,1,135,,6.5,0.609,5.222,29.94117647,124.1508651,99.37252276,61.55332027,0.751,5,26.4,0.5362,13.2,26.34,0.51,0.41,92.34
Missouri,1281,0,8,2345,6,2,9.36,113.3,97.8,15.5,0.608,14.55,491,14.1,0.625,1189,435,73.3,68.3,573,775,0.00,1716,2.449,0.453,5.2,1,165,,9.6,0.577,40.000,27.0625,113.7239765,105.5227337,59.21983363,0.736,45,15.5,0.5705,14.1,15.47,0.60,0.39,83.66
Montana,1285,0,14,2578,8,0,-2.7,110.1,99.3,10.8,0.634,6.56,543,12.4,0.788,1225,421,78.1,68.8,695,534,0.00,1965,0.000,0.471,9.3,0,256,,-2.18,0.553,92.889,25.4375,115.7316164,102.075025,56.03558406,0.706,47,10.8,0.4666,12.4,10.82,0.40,0.34,76.54
Murray St,1293,0,12,2447,10,0,-4.15,113.1,100.4,12.7,0.621,7.19,485,11.9,0.839,1150,459,78.9,66,537,696,0.00,1752,1.414,0.485,11.3,0,211,,-4.19,0.592,60.556,26.1,119.7958234,102.5339985,59.01463745,0.73,41,12.7,0.4886,11.9,12.69,0.56,0.38,78.26
NC Central,1300,-1,16,2474,7,2,-12.29,98.2,110.9,-12.7,0.592,-12.62,406,14.1,0.559,1293,535,72.8,70.7,632,626,0.00,1991,0.000,0.466,-0.3,0,174,,-12.75,0.545,314.333,25.46875,108.1216848,108.6705501,54.49160085,0.687,47,-12.7,0.3933,14.1,-12.76,0.46,0.34,62.31
NC State,1301,0,9,2599,6,2,6.76,116.4,101.3,15.1,0.705,21.29,473,12.2,0.656,1142,517,81.2,74.5,579,677,0.00,1993,2.449,0.47,6.8,1,240,,7.64,0.583,39.667,23.57575758,118.1695529,107.8558877,56.82942384,0.701,47,15.1,0.5493,12.2,15.13,0.53,0.37,82.59
Nevada,1305,2,7,2825,7,1,4.35,119.9,101.7,18.2,0.738,14.55,569,9.9,0.794,1225,559,83.1,72.9,586,830,0.00,2056,1.414,0.468,10.2,0,213,,4.45,0.584,25.889,26.6,122.3014862,106.4996302,59.35621964,0.747,24,18.2,0.5528,9.9,18.17,0.60,0.40,84.06
